Software,Feces,Locus,Proportion_genotyped,Genotyping_success,Mean_depth,w_genotypes,w_success
micness,5867,loc474,1.00,1.00,1282.67,6,6
micness,5867,locAHT_H171,1.00,0.83,1505.67,6,6
micness,5867,locCPH2,1.00,1.00,1082.33,6,6
micness,5867,locCPH5,1.00,1.00,1011.33,6,6
micness,5867,locCPH6,1.00,1.00,1929.00,6,6
micness,5867,locCPH7,1.00,1.00,1975.83,6,6
micness,5867,locVWF,1.00,0.83,3897.50,6,6
micness,5867,locc2096,1.00,1.00,417.17,6,6
micness,5867,locu109,1.00,0.83,326.67,6,6
micness,5867,locu140,1.00,1.00,5082.17,6,6
micness,5867,locu172,1.00,0.00,959.67,6,6
micness,5867,locu173,1.00,1.00,1816.00,6,6
micness,5867,locu204,1.00,1.00,914.17,6,6
micness,5867,locu225,1.00,1.00,2471.00,6,6
micness,5867,locu279,1.00,0.00,5574.33,6,6
micness,5870,loc366,1.00,0.67,93.33,6,6
micness,5870,loc377,1.00,0.00,108.17,6,6
micness,5870,loc410,0.83,0.80,44.33,6,5
micness,5870,loc466,0.83,1.00,48.67,6,5
micness,5870,loc474,1.00,0.83,134.67,6,6
micness,5870,locAHT_H171,1.00,0.00,245.33,6,6
micness,5870,locCPH2,1.00,0.67,101.50,6,6
micness,5870,locCPH5,1.00,0.67,82.17,6,6
micness,5870,locCPH6,1.00,1.00,134.50,6,6
micness,5870,locCPH7,1.00,0.50,107.67,6,6
micness,5870,locVWF,1.00,0.50,171.83,6,6
micness,5870,locc2096,1.00,1.00,53.33,6,6
micness,5870,locu109,na,na,22.67,na,na
micness,5870,locu140,1.00,0.83,238.33,6,6
micness,5870,locu172,0.83,0.00,36.67,6,5
micness,5870,locu173,1.00,0.83,226.33,6,6
micness,5870,locu204,0.83,0.60,74.50,6,5
micness,5870,locu225,1.00,0.50,195.00,6,6
micness,5870,locu279,1.00,1.00,739.33,6,6
micness,5871,loc366,0.67,0.50,112.83,6,4
micness,5871,loc377,1.00,0.00,117.50,6,6
micness,5871,loc410,0.83,0.80,44.00,6,5
